NodeID,PaperTitle,Type,Authors,PublicationYear,DOI
10.1609/aaai.v28i1.8870,Knowledge Graph Embedding by Translating on Hyperplanes,ReferenceOfReference,"['Zhen Wang', 'Jianwen Zhang', 'Jianlin Feng', 'Zheng Chen']",2014,10.1609/aaai.v28i1.8870
10.1609/aaai.v28i1.8916,Learning Deep Representations for Graph Clustering,ReferenceOfReference,"['Fei Tian', 'Bin Gao', 'Qing Cui', 'Enhong Chen', 'Tie-Yan Liu']",2014,10.1609/aaai.v28i1.8916
10.1145/2588555.2610518,Navigating the maze of graph analytics frameworks using massive graph datasets,ReferenceOfReference,"['N. Satish', 'N. Sundaram', 'Md. Mostofa Ali Patwary', 'Jiwon Seo', 'Jongsoo Park', 'M. A. Hassaan', 'Shubho Sengupta', 'Zhaoming Yin', 'P. Dubey']",2014,10.1145/2588555.2610518
10.3115/v1/D14-1067,Question Answering with Subgraph Embeddings,ReferenceOfReference,"['Antoine Bordes', 'S. Chopra', 'J. Weston']",2014,10.3115/v1/D14-1067
10.1109/TPAMI.2014.2316836,Spherical and Hyperbolic Embeddings of Data,ReferenceOfReference,"['Richard C. Wilson', 'E. Hancock', 'E. Pekalska', 'R. Duin']",2014,10.1109/TPAMI.2014.2316836
10.1145/2623330.2623732,DeepWalk: online learning of social representations,ReferenceOfReference,"['Bryan Perozzi', 'Rami Al-Rfou', 'S. Skiena']",2014,10.1145/2623330.2623732
10.14778/2556549.2556554,On the Embeddability of Random Walk Distances,ReferenceOfReference,"['Xiaohan Zhao', 'Adelbert Chang', 'Atish Das Sarma', 'Haitao Zheng', 'Ben Y. Zhao']",2013,10.14778/2556549.2556554
10.1145/2488388.2488393,Distributed large-scale natural graph factorization,ReferenceOfReference,"['Amr Ahmed', 'N. Shervashidze', 'Shravan M. Narayanamurthy', 'V. Josifovski', 'Alex Smola']",2013,10.1145/2488388.2488393
10.1007/s10994-013-5363-6,A semantic matching energy function for learning with multi-relational data,ReferenceOfReference,"['Xavier Glorot', 'Antoine Bordes', 'J. Weston', 'Yoshua Bengio']",2013,10.1007/s10994-013-5363-6
10.1109/TPAMI.2013.50,Representation Learning: A Review and New Perspectives,ReferenceOfReference,"['Yoshua Bengio', 'Aaron C. Courville', 'Pascal Vincent']",2012,10.1109/TPAMI.2013.50
10.14778/2212351.2212354,Distributed GraphLab: A Framework for Machine Learning in the Cloud,ReferenceOfReference,"['Yucheng Low', 'Joseph Gonzalez', 'Aapo Kyrola', 'Danny Bickson', 'Carlos Guestrin', 'Joseph M Hellerstein']",2012,10.14778/2212351.2212354
10.3758/s13428-011-0183-8,"Extracting semantic representations from word co-occurrence statistics: stop-lists, stemming, and SVD",ReferenceOfReference,"['J. Bullinaria', 'J. Levy']",2012,10.3758/s13428-011-0183-8
10.1609/aaai.v25i1.7917,Learning Structured Embeddings of Knowledge Bases,ReferenceOfReference,"['Antoine Bordes', 'J. Weston', 'R. Collobert', 'Yoshua Bengio']",2011,10.1609/aaai.v25i1.7917
10.5555/1953048.2078187,Weisfeiler-Lehman Graph Kernels,ReferenceOfReference,"['N. Shervashidze', 'Pascal Schweitzer', 'E. J. V. Leeuwen', 'K. Mehlhorn', 'Karsten M. Borgwardt']",2011,10.5555/1953048.2078187
10.1609/aaai.v24i1.7696,Local and Global Regressive Mapping for Manifold Learning with Out-of-Sample Extrapolation,ReferenceOfReference,"['Yi Yang', 'F. Nie', 'Shiming Xiang', 'Yueting Zhuang', 'Wenhua Wang']",2010,10.1609/aaai.v24i1.7696
10.1016/J.WEBSEM.2009.07.002,DBpedia - A crystallization point for the Web of Data,ReferenceOfReference,"['Christian Bizer', 'Jens Lehmann', 'Georgi Kobilarov', 'S. Auer', 'Christian Becker', 'Richard Cyganiak', 'Sebastian Hellmann']",2009,10.1016/J.WEBSEM.2009.07.002
10.1109/TKDE.2008.204,Nonlinear Dimensionality Reduction with Local Spline Embedding,ReferenceOfReference,"['Shiming Xiang', 'F. Nie', 'Changshui Zhang', 'Chunxia Zhang']",2009,10.1109/TKDE.2008.204
10.1145/1553374.1553494,Structure preserving embedding,ReferenceOfReference,"['B. Shaw', 'Tony Jebara']",2009,10.1145/1553374.1553494
10.1145/1401890.1401971,Hypergraph spectral learning for multi-label classification,ReferenceOfReference,"['Liang Sun', 'Shuiwang Ji', 'Jieping Ye']",2008,10.1145/1401890.1401971
10.5555/1756006.1859891,Graph Kernels,ReferenceOfReference,"['S. Vishwanathan', 'Karsten M. Borgwardt', 'I. Kondor', 'N. Schraudolph']",2008,10.5555/1756006.1859891
10.1145/1376616.1376746,Freebase: a collaboratively created graph database for structuring human knowledge,ReferenceOfReference,"['K. Bollacker', 'Colin Evans', 'Praveen K. Paritosh', 'Tim Sturge', 'Jamie Taylor']",2008,10.1145/1376616.1376746
10.1145/1291233.1291329,Spectral regression: a unified subspace learning framework for content-based image retrieval,ReferenceOfReference,"['Deng Cai', 'Xiaofei He', 'Jiawei Han']",2007,10.1145/1291233.1291329
10.1145/1242572.1242667,YAGO: A Core of Semantic Knowledge Unifying WordNet and Wikipedia,ReferenceOfReference,"['Fabian M. Suchanek', 'Gjergji Kasneci', 'G. Weikum']",2007,10.1145/1242572.1242667
10.1007/s00211-007-0114-x,Fast linear algebra is stable,ReferenceOfReference,"['J. Demmel', 'Ioana Dumitriu', 'Olga Holtz']",2006,10.1007/s00211-007-0114-x
10.1109/ICDM.2005.132,Shortest-path kernels on graphs,ReferenceOfReference,"['Karsten M. Borgwardt', 'H. Kriegel']",2005,10.1109/ICDM.2005.132
10.1145/1101149.1101193,Semantic manifold learning for image retrieval,ReferenceOfReference,"['Yen-Yu Lin', 'Tyng-Luh Liu', 'Hwann-Tzong Chen']",2005,10.1145/1101149.1101193
10.1145/1015330.1015345,Learning a kernel matrix for nonlinear dimensionality reduction,ReferenceOfReference,"['Kilian Q. Weinberger', 'Fei Sha', 'L. Saul']",2004,10.1145/1015330.1015345
10.1126/SCIENCE.295.5552.7A,The Isomap Algorithm and Topological Stability,ReferenceOfReference,"['M. Balasubramanian', 'E. Schwartz']",2002,10.1126/SCIENCE.295.5552.7A
10.1126/SCIENCE.290.5500.2323,Nonlinear dimensionality reduction by locally linear embedding.,ReferenceOfReference,"['S. Roweis', 'L. Saul']",2000,10.1126/SCIENCE.290.5500.2323
10.1162/neco.1997.9.8.1735,Long Short-Term Memory,ReferenceOfReference,"['Sepp Hochreiter', 'J. Schmidhuber']",1997,10.1162/neco.1997.9.8.1735
10.1080/03081088508817681,Eigenvalues of the Laplacian of a graph,ReferenceOfReference,"['W. Anderson', 'D. Thomas', 'Morley', 'TR 71-U']",1985,10.1080/03081088508817681
10.1007/BF02163027,Singular value decomposition and least squares solutions,ReferenceOfReference,"['G. Golub', 'C. Reinsch']",1970,10.1007/BF02163027
10.1109/TKDE.2016.2606098,A Semi-NMF-PCA Unified Framework for Data Clustering,ReferenceOfReference,"['Kais Allab', 'Lazhar Labiod', 'M. Nadif']",2017,10.1109/TKDE.2016.2606098
10.1016/j.patcog.2016.07.043,Hierarchical graph embedding in vector space by graph pyramid,ReferenceOfReference,"['Seyedeh Fatemeh Mousavi', 'M. Safayani', 'Abdolreza Mirzaei', 'Hoda Bahonar']",2017,10.1016/j.patcog.2016.07.043
10.1109/TNN.2008.2005605,The Graph Neural Network Model,ReferenceOfReference,"['F. Scarselli', 'M. Gori', 'A. Tsoi', 'M. Hagenbuchner', 'G. Monfardini']",2009,10.1109/TNN.2008.2005605
10.1109/TPAMI.2007.12,Graph Embedding and Extensions: A General Framework for Dimensionality Reduction,ReferenceOfReference,"['Shuicheng Yan', 'Dong Xu', 'Benyu Zhang', 'HongJiang Zhang', 'Qiang Yang', 'Stephen Lin']",2007,10.1109/TPAMI.2007.12
10.1016/S0377-2217(01)00143-6,Semidefinite programming,ReferenceOfReference,['Christoph Helmberg'],2002,10.1016/S0377-2217(01)00143-6
10.1609/AAAI.V34I04.5747,Measuring and relieving the over-smoothing problem for graph neural networks from the topological view,Reference,"Deli Chen, Yankai Lin, Wei Li, Peng Li, Jie Zhou, and Xu Sun",2020,10.1609/AAAI.V34I04.5747
10.24963/ijcai.2019/564,Dual Self-Paced Graph Convolutional Network: Towards Reducing Attribute Distortions Induced by Topology,ReferenceOfReference,"['Liang Yang', 'Zhiyang Chen', 'Junhua Gu', 'Yuanfang Guo']",2019,10.24963/ijcai.2019/564
10.24963/ijcai.2019/563,Topology Optimization based Graph Convolutional Network,ReferenceOfReference,"['Liang Yang', 'Z. Kang', 'Xiaochun Cao', 'Di Jin', 'Bo Yang', 'Yuanfang Guo']",2019,10.24963/ijcai.2019/563
10.18653/v1/P19-1479,Coherent Comments Generation for Chinese Articles with a Graph-to-Sequence Model,ReferenceOfReference,"['Wei Li', 'Jingjing Xu', 'Yancheng He', 'Shengli Yan', 'Yunfang Wu', 'Xu Sun']",2019,10.18653/v1/P19-1479
10.1109/ICCV.2019.00936,DeepGCNs: Can GCNs Go As Deep As CNNs?,ReferenceOfReference,"['G. Li', 'Matthias Müller', 'Ali K. Thabet', 'Bernard Ghanem']",2019,10.1109/ICCV.2019.00936
10.1609/AAAI.V34I04.5984,EvolveGCN: Evolving Graph Convolutional Networks for Dynamic Graphs,ReferenceOfReference,"['A. Pareja', 'Giacomo Domeniconi', 'Jie Chen', 'Tengfei Ma', 'T. Suzumura', 'H. Kanezashi', 'Tim Kaler', 'Charles E. Leisersen']",2019,10.1609/AAAI.V34I04.5984
10.1016/j.patcog.2020.107637,Hypergraph Convolution and Hypergraph Attention,ReferenceOfReference,"['S. Bai', 'Feihu Zhang', 'Philip H. S. Torr']",2019,10.1016/j.patcog.2020.107637
10.1109/TPAMI.2021.3054830,Graph Neural Networks With Convolutional ARMA Filters,ReferenceOfReference,"['F. Bianchi', 'Daniele Grattarola', 'L. Livi', 'C. Alippi']",2019,10.1109/TPAMI.2021.3054830
10.1016/J.AIOPEN.2021.01.001,Graph Neural Networks: A Review of Methods and Applications,ReferenceOfReference,"['Jie Zhou', 'Ganqu Cui', 'Zhengyan Zhang', 'Cheng Yang', 'Zhiyuan Liu', 'Maosong Sun']",2018,10.1016/J.AIOPEN.2021.01.001
10.1609/aaai.v33i01.33014602,Weisfeiler and Leman Go Neural: Higher-order Graph Neural Networks,ReferenceOfReference,"['Christopher Morris', 'Martin Ritzert', 'Matthias Fey', 'William L. Hamilton', 'J. E. Lenssen', 'Gaurav Rattan', 'Martin Grohe']",2018,10.1609/aaai.v33i01.33014602
10.1609/aaai.v32i1.11604,Deeper Insights into Graph Convolutional Networks for Semi-Supervised Learning,ReferenceOfReference,"['Qimai Li', 'Zhichao Han', 'Xiao-Ming Wu']",2018,10.1609/aaai.v32i1.11604
10.17863/CAM.48429,Graph Attention Networks,ReferenceOfReference,"['Petar Velickovic', 'Guillem Cucurull', 'Arantxa Casanova', 'Adriana Romero', 'Pietro Liò', 'Yoshua Bengio']",2017,10.17863/CAM.48429
10.1093/bioinformatics/btx252,Predicting multicellular function through multi-layer tissue networks,ReferenceOfReference,"['M. Zitnik', 'J. Leskovec']",2017,10.1093/bioinformatics/btx252
10.1109/CVPR.2018.00275,FeaStNet: Feature-Steered Graph Convolutions for 3D Shape Analysis,ReferenceOfReference,"['Nitika Verma', 'Edmond Boyer', 'Jakob Verbeek']",2017,10.1109/CVPR.2018.00275
10.1145/2766462.2767755,Image-Based Recommendations on Styles and Substitutes,ReferenceOfReference,"['Julian McAuley', 'C. Targett', 'Javen Qinfeng Shi', 'Anton van den Hengel']",2015,10.1145/2766462.2767755
10.1201/b17320-16,Collective Classification in Network Data,ReferenceOfReference,"['Prithviraj Sen', 'Galileo Namata', 'M. Bilgic', 'L. Getoor', 'Brian Gallagher', 'Tina Eliassi-Rad']",2008,10.1201/b17320-16
10.18653/v1/2020.acl-main.207,SPECTER: Document-level Representation Learning using Citation-informed Transformers,Reference,"Arman Cohan, Sergey Feldman, Iz Beltagy, Doug Downey, and Daniel Weld",2020,10.18653/v1/2020.acl-main.207
